customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,predictions,ct_Last_training
5510-BOIUJ,Male,False,False,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,21.82890729052703,19.25,True,False,False
7502-BNYGS,Female,False,True,False,46,True,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),78.3572724039178,3168.0,False,False,False
4291-HYEBC,Female,True,True,True,28,False,No phone service,DSL,No,Yes,No,No,No,Yes,One year,True,Electronic check,44.33819610699257,1096.6,True,False,False
6147-CBCRA,Female,False,True,False,33,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,22.73608265844504,669.45,False,False,False
6047-SUHPR,Male,False,True,True,39,True,No,DSL,Yes,Yes,Yes,No,No,No,One year,False,Electronic check,67.81135875187098,2343.85,True,False,False
4471-KXAUH,Female,False,True,False,42,True,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,True,Electronic check,95.59360439435991,3588.4,True,True,False
9752-ZNQUT,Female,False,False,False,1,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,55.11090360101889,48.6,False,True,False
7638-QVMVY,Female,False,False,False,7,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,89.58356758190314,522.95,True,True,False
1576-PFZIW,Male,True,True,False,70,True,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,False,Credit card (automatic),119.46365626270249,7511.9,True,False,False
5666-MBJPT,Male,False,False,False,65,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),28.462627168427453,1725.0,True,False,False
7312-XSBAT,Male,False,False,False,1,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,False,Electronic check,56.41496819240103,49.75,False,True,False
3096-GKWEB,Male,False,True,False,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,107.4435826377889,1691.9,False,True,False
2371-JQHZZ,Male,False,True,False,24,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,105.45913652046823,2248.05,False,True,False
0674-GCDXG,Male,False,False,False,63,True,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),81.53238619163083,4479.2,True,False,False
1121-QSIVB,Female,False,False,True,44,True,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,True,Mailed check,87.93931222755175,3471.1,True,False,False
4396-KLSEH,Male,False,False,False,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,22.50928881646553,63.0,False,False,False
3244-DCJWY,Female,False,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,79.66133699529993,70.25,True,True,False
2824-MYYBN,Female,False,True,True,37,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,108.01056724273764,3314.15,False,True,False
0875-CABNR,Female,True,False,False,10,True,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,True,Credit card (automatic),95.93379515732916,865.55,True,True,False
6345-HOVES,Male,False,False,False,34,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),28.405928707932578,852.7,False,False,False
8318-LCNBW,Male,False,True,False,35,False,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,False,Credit card (automatic),60.27046350605255,1930.9,True,False,False
6469-QJKZW,Female,False,True,False,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,22.849479579434785,91.4,False,False,False
0147-ESWWR,Female,True,True,False,39,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,114.81438250212268,3949.15,False,True,False
1217-VASWC,Male,True,True,False,43,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),114.02060405519444,4304.0,True,True,False
7812-FZHPE,Female,False,True,True,17,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,27.328657958529945,409.9,True,False,False
6370-ZVHDV,Female,False,True,False,61,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),28.689421010406956,1554.9,True,False,False
5915-DGNVC,Female,False,True,False,49,True,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,False,Electronic check,81.41898927064108,3472.05,True,False,False
6260-XLACS,Male,False,False,False,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,22.339193434980903,117.8,True,False,False
3566-CAAYU,Female,False,True,True,64,False,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Two year,False,Electronic check,56.52836511339078,3210.35,True,False,False
4983-CCWMC,Male,False,False,False,3,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,78.92425700886655,207.4,False,True,False
9103-CXVOK,Male,False,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,22.395891895475785,19.75,False,False,False
2896-TBNBE,Male,False,True,False,40,True,No,Fiber optic,No,Yes,Yes,No,No,No,One year,False,Electronic check,91.62471215971864,3132.75,True,False,False
4797-AXPXK,Female,False,False,True,1,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,True,Electronic check,68.03815259385048,60.0,True,True,False
5229-PRWKT,Male,False,False,False,8,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,98.14503511662932,649.65,True,True,False
6982-UQZLY,Female,True,True,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,23.643258026363043,20.85,True,False,False
2522-WLNSF,Female,True,True,False,34,True,No,DSL,No,No,Yes,Yes,Yes,No,One year,False,Bank transfer (automatic),72.80082327542002,2106.3,True,False,False
3841-CONLJ,Female,False,True,False,1,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,False,Electronic check,39.68892234641278,35.0,False,True,False
5057-LCOUI,Female,False,False,False,39,False,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,57.54893740229853,2011.4,True,True,False
0193-ESZXP,Female,True,True,False,58,True,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,True,Credit card (automatic),119.6337516441871,6205.5,True,False,False
4475-NVTLU,Male,False,True,True,45,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Electronic check,21.772208830032152,903.7,True,False,False
4369-HTUIF,Male,True,False,False,6,True,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),96.55747822277282,503.6,True,True,False
9386-LDCZR,Male,False,False,False,43,True,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,True,Credit card (automatic),102.7943088772091,3882.3,True,False,False
9585-KKMFD,Male,False,True,True,41,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,22.67938419795016,879.8,True,False,False
5399-ZIMKF,Male,False,False,False,5,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,84.65080151884898,383.65,False,True,False
0336-KXKFK,Male,False,False,False,72,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),69.3989156457275,4390.25,True,False,False
5619-XZZKR,Male,False,False,False,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,22.622685737455285,68.2,True,False,False
3948-FVVRP,Male,False,True,True,9,True,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,False,Mailed check,62.14151270238344,452.8,False,False,False
5327-XOKKY,Male,True,True,False,72,True,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,True,Credit card (automatic),83.29003846697196,5329.0,True,False,False
0983-TATYJ,Female,False,True,False,33,True,No,DSL,No,No,No,Yes,No,No,One year,True,Mailed check,58.34271584922679,1758.9,True,False,False
1813-JYWTO,Female,False,True,False,72,True,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,False,Bank transfer (automatic),91.22782293625453,5737.6,True,False,False
0156-FVPTA,Male,False,True,False,22,True,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,True,Electronic check,61.46113117644494,1152.7,True,False,False
1984-FCOWB,Female,False,True,False,70,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,124.16962848377712,7674.55,True,False,False
0654-HMSHN,Male,False,True,True,21,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,False,Electronic check,118.38638551329984,2157.95,True,True,False
6719-OXYBR,Male,False,False,False,15,True,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,False,Electronic check,96.72757360425744,1219.85,False,True,False
3312-ZWLGF,Male,True,True,False,29,True,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,True,Electronic check,89.92375834487238,2414.55,False,True,False
6476-YHMGA,Female,False,True,True,15,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,False,Bank transfer (automatic),86.74864455715937,1155.6,False,False,False
5287-QWLKY,Male,True,True,True,71,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),119.18016396022809,7548.1,True,False,False
0795-XCCTE,Male,True,False,False,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),28.802817931396703,1809.35,True,False,False
0168-XZKBB,Female,False,True,False,19,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,98.48522587959856,1564.4,False,True,False
3785-NRHYR,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,22.28249497448603,19.65,False,False,False
5196-SGOAK,Female,False,False,False,1,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,85.84146918924137,75.7,True,True,False
4537-DKTAL,Female,False,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,51.65229751083149,84.4,False,True,False
7072-MBHEV,Female,True,True,True,11,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Credit card (automatic),88.56299529299537,864.85,False,True,False
5602-BVFMK,Female,False,False,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,21.885605751021902,228.75,True,False,False
6297-NOOPG,Female,False,True,False,70,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,125.30359769367465,7752.05,True,False,False
1891-UAWWU,Female,True,True,False,20,True,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,False,Electronic check,102.96440425869372,1951.0,True,True,False
8204-TIFGJ,Female,False,False,False,23,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),23.01957496091941,470.6,False,False,False
8050-DVOJX,Male,True,False,False,49,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,False,Credit card (automatic),92.24839522516228,4060.9,True,False,False
6108-OQZDQ,Female,False,True,True,4,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,111.07228410946092,384.5,True,True,False
0363-QJVFX,Male,False,False,False,32,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,True,Credit card (automatic),122.6387700504155,3432.9,True,True,False
8903-XEBGX,Male,False,False,True,2,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,62.7084973073322,108.65,False,True,False
8169-SAEJD,Male,True,True,False,69,False,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,False,Credit card (automatic),64.12595881970408,3952.65,True,False,False
9840-DVNDC,Male,False,False,False,6,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Credit card (automatic),91.2845213967494,463.05,True,True,False
1089-XZWHH,Female,False,True,True,24,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,22.339193434980903,494.05,True,False,False
2325-WINES,Female,False,False,False,32,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,True,Credit card (automatic),117.98949628983571,3416.85,True,True,False
6064-ZATLR,Female,False,False,False,27,True,No,DSL,Yes,Yes,No,No,No,No,Two year,False,Bank transfer (automatic),59.9302727430833,1498.65,True,False,False
3096-JRDSO,Female,True,True,False,27,True,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),118.27298859231009,2867.75,True,True,False
7824-PANSQ,Male,False,False,False,58,True,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,False,Bank transfer (automatic),91.45461677823404,4807.35,False,False,False
8042-JVNFH,Male,False,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,80.90870312618719,71.35,True,True,False
9648-BCHKM,Female,False,True,True,18,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),27.95234102397357,471.35,True,False,False
2888-ADFAO,Female,False,True,True,47,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),24.15354417081692,1041.8,True,False,False
8707-HOEDG,Female,False,True,True,70,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,124.9634069307054,7689.8,True,False,False
3374-LXDEV,Female,False,False,False,13,True,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,False,Electronic check,101.37684736483725,1132.35,True,True,False
4072-IPYLT,Female,False,True,True,36,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,False,Credit card (automatic),57.889128165267785,1815.0,False,False,False
7167-PCEYD,Male,False,False,False,67,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,22.45259035597066,1311.3,True,False,False
4936-YPJNK,Female,False,False,False,10,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,22.56598727696041,199.45,False,False,False
1580-BMCMR,Male,True,False,False,19,True,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,True,Electronic check,98.99551202405245,1637.3,False,True,False
4817-KEQSP,Female,False,True,True,71,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),22.50928881646553,1326.35,True,False,False
6408-WHTEF,Male,False,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Mailed check,101.37684736483725,6376.55,True,False,False
9251-AWQGT,Female,False,True,True,48,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,22.67938419795016,935.9,True,False,False
8749-CLJXC,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,22.73608265844504,20.05,False,False,False
7989-VCQOH,Male,False,True,True,18,True,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,False,Electronic check,94.40293672396754,1611.15,False,False,False
5049-GLYVG,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,23.359765723888668,20.6,True,False,False
4199-QHJNM,Male,True,True,False,67,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),116.68543169845358,6989.7,True,False,False
8882-TLVRW,Male,False,True,True,69,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,False,Mailed check,44.33819610699257,2779.5,True,False,False
5883-GTGVD,Male,False,False,False,19,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,113.34022252925594,1931.75,True,True,False
5135-GRQJV,Male,True,True,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Mailed check,129.83947453326468,8331.95,True,False,False
2384-OVPSA,Female,True,False,False,38,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,22.90617803992966,735.9,True,False,False
1371-WEPDS,Male,True,True,False,40,True,No,DSL,No,No,No,No,No,Yes,One year,False,Electronic check,63.27548191228095,2283.3,True,False,False
3580-GICBM,Female,False,True,True,61,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,27.44205487951969,1445.2,True,False,False
4817-QRJSX,Female,False,False,False,10,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),91.85150600169816,818.05,True,True,False
9730-DRTMJ,Male,False,True,False,32,True,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,True,Credit card (automatic),82.55295848053858,2333.05,True,False,False
4686-UXDML,Female,False,False,False,21,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),113.22682560826615,1992.55,False,True,False
3349-ANQNH,Female,True,False,False,59,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Electronic check,112.82993638480204,5890.0,True,True,False
2398-YPMUR,Female,True,True,False,13,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,79.54794007431019,916.75,True,True,False
0932-YIXYU,Female,False,False,False,47,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),22.96287650042454,1029.8,True,False,False
7480-SPLEF,Male,False,True,True,69,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),29.48319945733521,1796.55,True,False,False
7636-XUHWW,Male,False,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Credit card (automatic),22.56598727696041,33.7,False,False,False
1431-CYWMH,Female,False,True,True,22,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),21.60211344854753,454.05,False,False,False
5937-EORGB,Male,True,True,False,15,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,True,Electronic check,109.42802875510952,1392.25,False,True,False
6349-JDHQP,Female,False,False,False,53,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),22.50928881646553,1049.6,True,False,False
5539-HIVAK,Female,True,True,False,28,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,29.14300869436596,734.6,False,False,False
5847-MXBEO,Male,False,False,False,22,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,23.01957496091941,475.1,True,False,False
9985-MWVIX,Female,False,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,79.54794007431019,70.15,True,True,False
4583-PARNH,Male,True,True,False,16,True,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,True,Electronic check,103.81488116611686,1540.05,False,True,False
1116-FRYVH,Female,False,True,True,48,False,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,False,Mailed check,44.67838686996181,1978.65,True,False,False
1421-HCERK,Male,True,True,False,30,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,True,Bank transfer (automatic),119.8605454861666,3181.8,False,True,False
9633-XQABV,Female,False,False,False,3,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,79.66133699529993,229.7,False,True,False
0716-BQNDX,Male,True,False,False,57,True,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,False,Electronic check,106.30961342789138,5625.55,True,False,False
1265-XTECC,Female,True,True,False,68,True,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,True,Credit card (automatic),109.4847272156044,6581.9,True,False,False
1183-CANVH,Female,False,True,False,23,True,No,DSL,No,No,No,Yes,Yes,No,One year,False,Bank transfer (automatic),68.03815259385048,1347.15,True,False,False
1972-XMUWV,Female,False,True,False,65,True,No,DSL,No,No,No,Yes,Yes,No,Two year,True,Credit card (automatic),67.81135875187098,3808.2,True,False,False
8679-LZBMD,Male,False,True,False,44,True,No,Fiber optic,No,No,No,No,Yes,Yes,One year,True,Bank transfer (automatic),102.7943088772091,3974.15,True,False,False
3407-JMJQQ,Female,False,True,True,71,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),123.60264387882836,7661.8,True,False,False
6252-DFGTK,Female,False,True,False,37,True,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,False,Credit card (automatic),77.22330319402029,2479.25,True,False,False
1539-LNKHM,Female,False,False,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,23.132971881909164,266.6,False,False,False
8645-KOMJQ,Male,False,True,True,69,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),92.92877675110078,5601.4,True,False,False
0289-IVARM,Female,False,False,False,35,True,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,False,Electronic check,68.66183565929411,1982.6,False,False,False
9761-XUJWD,Male,False,False,False,5,True,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),74.38838016927652,339.9,False,True,False
4057-FKCZK,Male,False,True,True,58,True,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,False,Bank transfer (automatic),93.5524598165444,4828.05,True,False,False
4291-TPNFG,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),93.32566597456491,5980.55,True,False,False
6087-YPWHO,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,False,Mailed check,77.28000165451517,4808.7,True,False,False
3090-QFUVD,Female,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),23.01957496091941,20.3,False,False,False
2237-ZFSMY,Female,False,False,False,39,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,True,Electronic check,108.3507580057069,3692.85,True,False,False
1722-LDZJS,Male,False,True,True,53,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),22.90617803992966,1068.15,True,False,False
1818-ESQMW,Female,False,False,False,27,True,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,True,Electronic check,101.15005352285772,2383.6,False,True,False
4871-JTKJF,Female,True,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,78.98095546936145,69.65,True,True,False
1415-YFWLT,Female,True,False,False,1,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,101.26345044384746,89.3,True,True,False
7401-RUBNK,Female,False,True,False,18,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Electronic check,84.8208969003336,1438.05,False,True,False
0506-YLVKJ,Male,False,True,True,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,22.90617803992966,917.45,True,False,False
8661-BOYNW,Female,False,True,False,72,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),95.70700131534969,6096.45,True,False,False
6711-VTNRE,Female,False,False,False,36,True,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,True,Electronic check,99.27900432652685,3078.1,True,True,False
4815-GBTCD,Female,False,True,False,4,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,28.519325628922324,99.95,False,True,False
2805-AUFQN,Female,False,False,False,25,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),22.45259035597066,475.2,True,False,False
0980-PVMRC,Female,False,True,True,40,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,57.662334323288285,2036.55,False,True,False
7233-DRTRF,Male,False,True,False,63,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,116.11844709350484,6444.05,False,True,False
3500-RMZLT,Female,True,False,False,15,True,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,True,Mailed check,109.20123491313002,1426.75,True,True,False
3873-NFTGI,Male,False,False,False,14,True,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),62.935291149311695,767.55,False,True,False
1162-ECVII,Male,True,True,False,72,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),124.4531207862515,7932.5,True,False,False
7048-GXDAY,Male,False,False,False,39,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,120.65432393309486,4040.65,False,True,False
